isbn,title,authors,publisher,language,genres
9781494563943,#Hater,Cambria Hebert,Tantor Audio,English,"['New Adult', 'Romance', 'Sports', 'College', 'Sports Romance', 'Contemporary', 'Contemporary Romance']"
9780345816023,12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,Random House Canada,English,"['Nonfiction', 'Psychology', 'Self Help', 'Philosophy', 'Personal Development', 'Audiobook', 'Unfinished']"
9780060541439,13 Little Blue Envelopes ,Maureen Johnson,Harperteen,English,"['Young Adult', 'Contemporary', 'Romance', 'Fiction', 'Travel', 'Chick Lit', 'Realistic Fiction']"
9780312609146,13 to Life ,Shannon Delany,St. Martin's Griffin,English,"['Young Adult', 'Werewolves', 'Paranormal', 'Fantasy', 'Romance', 'Supernatural', 'Urban Fantasy']"
9781400032051,1491: New Revelations of the Americas Before Columbus,Charles C. Mann,Vintage,English,"['History', 'Nonfiction', 'American History', 'Anthropology', 'Science', 'Historical', 'World History']"
9780446696616,1st to Die,James Patterson,Grand Central Publishing,English,"['Mystery', 'Fiction', 'Thriller', 'Crime', 'Mystery Thriller', 'Suspense', 'Murder Mystery']"
9780345413970,2010: Odyssey Two,Arthur C. Clarke,Del Rey,English,"['Science Fiction', 'Fiction', 'Science Fiction Fantasy', 'Classics', 'Space', 'Novels', 'Fantasy']"
9780586203194,2061: Odyssey Three,Arthur C. Clarke,Voyager,English,"['Science Fiction', 'Fiction', 'Science Fiction Fantasy', 'Space', 'Classics', 'Novels', 'Adventure']"
9780446696630,2nd Chance ,James Patterson,Grand Central Publishing,English,"['Mystery', 'Fiction', 'Crime', 'Thriller', 'Suspense', 'Mystery Thriller', 'Murder Mystery']"
9780345438201,3001: The Final Odyssey,Arthur C. Clarke,Del Rey,English,"['Science Fiction', 'Fiction', 'Science Fiction Fantasy', 'Classics', 'Space', 'Fantasy', 'Adventure']"
9780571212927,A Beautiful Mind,Sylvia Nasar,Faber and Faber,English,"['Biography', 'Nonfiction', 'Psychology', 'Science', 'Mathematics', 'History', 'Biography Memoir']"
9780802712455,A Bone to Pick,Charlaine Harris,Walker & Co,English,"['Mystery', 'Fiction', 'Cozy Mystery', 'Crime', 'Audiobook', 'Mystery Thriller', 'Romance']"
9780553380163,A Brief History of Time,Stephen Hawking,Bantam Books,English,"['Science', 'Nonfiction', 'Physics', 'History', 'Classics', 'Astronomy', 'Philosophy']"
9780770429911,A Certain Justice ,P.D. James,Seal Books,English,"['Mystery', 'Fiction', 'Crime', 'British Literature', 'Detective', 'Mystery Thriller', 'Thriller']"
